Modelo,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_AUC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_AUC
Random Forest,0.8994382022471911,0.9590163934426229,0.8871103622577927,0.9216630196936543,0.9681463465224017,0.804932735426009,0.8547297297297297,0.8518518518518519,0.8532883642495784,0.8621562379951642
Gradient Boosting,0.9387640449438203,0.9583333333333334,0.949452401010952,0.9538721963605586,0.987453313083986,0.8251121076233184,0.8566775244299675,0.8855218855218855,0.8708609271523179,0.8882787607619822
XGBoost,0.9252808988764045,0.9421140939597316,0.9460825610783488,0.9440941572089113,0.9800175027099366,0.8318385650224215,0.8603896103896104,0.8922558922558923,0.8760330578512396,0.8830587756762253
LightGBM,0.9252808988764045,0.9443507588532883,0.9435551811288964,0.943952802359882,0.9808045563872816,0.8139013452914798,0.8474025974025974,0.8787878787878788,0.8628099173553719,0.88561227487402
